"package","date","series","series_id","series_type","frequency","value","category"
"readrba",2002-03-31,"Non-Transaction Deposits with ADIs","DMANTD","Original","Monthly",214.345,"TBC"
"readrba",1984-06-30,"Offshore borrowings by AFIs","DMAMOAFI","Original","Monthly",2.77,"TBC"
"readrba",1976-08-31,"Other borrowings from private sector by AFIs","DMANBPA","Original","Monthly",11.701,"TBC"
"readrba",2002-04-30,"Transaction Deposits with ADIs","DMATD","Original","Monthly",171.932,"TBC"
"readrba",2010-01-29,"A$1=AED","FXRUAED","Indicative","Monthly",3.2718,"TBC"
"readrba",2010-01-29,"A$1=CAD","FXRCD","Indicative","Monthly",0.9517,"TBC"
"readrba",2010-01-29,"A$1=CHF","FXRSF","Indicative","Monthly",0.9387,"TBC"
"readrba",1983-12-31,"A$1=CNY","FXRCR","Indicative","Monthly",1.7868,"TBC"
"readrba",1999-01-31,"A$1=EUR","FXREUR","Indicative","Monthly",0.5506,"TBC"
"readrba",1969-07-31,"A$1=GBP","FXRUKPS","Indicative","Monthly",0.4657,"TBC"
"readrba",1983-12-31,"A$1=HKD","FXRHKD","Indicative","Monthly",7.0167,"TBC"
"readrba",1983-12-31,"A$1=IDR","FXRIR","Indicative","Monthly",897,"TBC"
"readrba",2010-01-29,"A$1=INR","FXRIRE","Indicative","Monthly",41.32,"TBC"
"readrba",1969-07-31,"A$1=JPY","FXRJY","Indicative","Monthly",400.74,"TBC"
"readrba",1980-01-31,"A$1=KRW","FXRSKW","Indicative","Monthly",642,"TBC"
"readrba",1983-12-31,"A$1=MYR","FXRMR","Indicative","Monthly",2.1089,"TBC"
"readrba",1969-07-31,"A$1=NZD","FXRNZD","Indicative","Monthly",0.998,"TBC"
"readrba",2010-01-29,"A$1=PGK","FXRPNGK","Indicative","Monthly",2.4111,"TBC"
"readrba",2013-12-31,"A$1=PHP","FXRPHP","Indicative","Monthly",39.71,"TBC"
"readrba",2010-01-29,"A$1=SAR","FXRSARY","Indicative","Monthly",3.3411,"TBC"
"readrba",1970-01-31,"A$1=SDR","FXRSDR","Indicative","Monthly",1.12,"TBC"
"readrba",2010-01-29,"A$1=SEK","FXRSK","Indicative","Monthly",6.5618,"TBC"
"readrba",1980-11-30,"A$1=SGD","FXRSD","Indicative","Monthly",2.4347,"TBC"
"readrba",2010-01-29,"A$1=THB","FXRTB","Indicative","Monthly",29.54,"TBC"
"readrba",1983-12-31,"A$1=TWD","FXRNTD","Indicative","Monthly",36.34,"TBC"
"readrba",1969-07-31,"A$1=USD","FXRUSD","Indicative","Monthly",1.1138,"TBC"
"readrba",2010-01-29,"A$1=VND","FXRVD","Indicative","Monthly",16461,"TBC"
