package,date,series,series_id,series_type,frequency,value,unit,group,group_id
readrba,30/6/1984 0:00,Offshore borrowings by AFIs (ORIG),DMAMOAFI,Original,Monthly,2.77,$ Billions,,
readrba,31/8/1976 0:00,Other borrowings from private sector by AFIs (ORIG),DMANBPA,Original,Monthly,11.701,$ Billions,,
readrba,30/4/2002 0:00,Transaction Deposits with ADIs (ORIG),DMATD,Original,Monthly,171.932,$ Billions,,
readrba,29/1/2010 0:00,A$1=AED (ORIG),FXRUAED,Original,Monthly,3.2718,AED,,
readrba,29/1/2010 0:00,A$1=CAD (ORIG),FXRCD,Original,Monthly,0.9517,CAD,,
readrba,29/1/2010 0:00,A$1=CHF (ORIG),FXRSF,Original,Monthly,0.9387,CHF,,
readrba,31/12/1983 0:00,A$1=CNY (ORIG),FXRCR,Original,Monthly,1.7868,CNY,,
readrba,31/1/1999 0:00,A$1=EUR (ORIG),FXREUR,Original,Monthly,0.5506,EUR,,
readrba,31/7/1969 0:00,A$1=GBP (ORIG),FXRUKPS,Original,Monthly,0.4657,GBP,,
readrba,31/12/1983 0:00,A$1=HKD (ORIG),FXRHKD,Original,Monthly,7.0167,HKD,,
readrba,31/12/1983 0:00,A$1=IDR (ORIG),FXRIR,Original,Monthly,897,IDR,,
readrba,29/1/2010 0:00,A$1=INR (ORIG),FXRIRE,Original,Monthly,41.32,INR,,
readrba,31/7/1969 0:00,A$1=JPY (ORIG),FXRJY,Original,Monthly,400.74,JPY,,
readrba,31/1/1980 0:00,A$1=KRW (ORIG),FXRSKW,Original,Monthly,642,KRW,,
readrba,31/12/1983 0:00,A$1=MYR (ORIG),FXRMR,Original,Monthly,2.1089,MYR,,
readrba,31/7/1969 0:00,A$1=NZD (ORIG),FXRNZD,Original,Monthly,0.998,NZD,,
readrba,29/1/2010 0:00,A$1=PGK (ORIG),FXRPNGK,Original,Monthly,2.4111,PGK,,
readrba,31/12/2013 0:00,A$1=PHP (ORIG),FXRPHP,Original,Monthly,39.71,PHP,,
readrba,29/1/2010 0:00,A$1=SAR (ORIG),FXRSARY,Original,Monthly,3.3411,SAR,,
readrba,31/1/1970 0:00,A$1=SDR (ORIG),FXRSDR,Original,Monthly,1.12,SDR,,
readrba,29/1/2010 0:00,A$1=SEK (ORIG),FXRSK,Original,Monthly,6.5618,SEK,,
readrba,30/11/1980 0:00,A$1=SGD (ORIG),FXRSD,Original,Monthly,2.4347,SGD,,
readrba,29/1/2010 0:00,A$1=THB (ORIG),FXRTB,Original,Monthly,29.54,THB,,
readrba,31/12/1983 0:00,A$1=TWD (ORIG),FXRNTD,Original,Monthly,36.34,TWD,,
readrba,31/7/1969 0:00,A$1=USD (ORIG),FXRUSD,Original,Monthly,1.1138,USD,,
readrba,29/1/2010 0:00,A$1=VND (ORIG),FXRVD,Original,Monthly,16461,VND,,
readrba,29/1/2010 0:00,A$1=ZAR (ORIG),FXRSARD,Original,Monthly,6.7897,ZAR,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Effective tenor – 10 year target tenor (ORIG),FNFTA10M,Original,Monthly,8.93,Years,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Effective tenor – 3 year target tenor (ORIG),FNFTA3M,Original,Monthly,2.68,Years,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Effective tenor – 5 year target tenor (ORIG),FNFTA5M,Original,Monthly,4.02,Years,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Effective tenor – 7 year target tenor (ORIG),FNFTA7M,Original,Monthly,7.58,Years,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Number of bonds – >12 years (ORIG),FNFNA12M,Original,Monthly,0,Number,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Number of bonds – 1–4 years (ORIG),FNFNA3M,Original,Monthly,20,Number,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Number of bonds – 4–6 years (ORIG),FNFNA5M,Original,Monthly,3,Number,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Number of bonds – 6–8 years (ORIG),FNFNA7M,Original,Monthly,3,Number,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Number of bonds – 8–12 years (ORIG),FNFNA10M,Original,Monthly,4,Number,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Yield – 10 year target tenor (ORIG),FNFYA10M,Original,Monthly,6.24,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Yield – 3 year target tenor (ORIG),FNFYA3M,Original,Monthly,5.95,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Yield – 5 year target tenor (ORIG),FNFYA5M,Original,Monthly,6,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate A-rated bonds – Yield – 7 year target tenor (ORIG),FNFYA7M,Original,Monthly,6.18,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Effective tenor – 10 year target tenor (ORIG),FNFTBBB10M,Original,Monthly,7.95,Years,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Effective tenor – 3 year target tenor (ORIG),FNFTBBB3M,Original,Monthly,3.29,Years,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Effective tenor – 5 year target tenor (ORIG),FNFTBBB5M,Original,Monthly,5.62,Years,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Effective tenor – 7 year target tenor (ORIG),FNFTBBB7M,Original,Monthly,7.15,Years,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Number of bonds – >12 years (ORIG),FNFNBBB12M,Original,Monthly,0,Number,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Number of bonds – 1–4 years (ORIG),FNFNBBB3M,Original,Monthly,4,Number,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Number of bonds – 4–6 years (ORIG),FNFNBBB5M,Original,Monthly,1,Number,,
